PASS: certificate.json matches C++ arrays and metadata (68 stages, 87376 grid intervals)
MPFR 4.2.2; grid n=87376; scale=2^50
CRT modulus=576929796637471070305089837581991937
NTT/CRT self-test: PASS
terminal initialized; U(0)/S=0.5
stage 66 eps=8923831592519 center=0.47318777433390657 sec=0.92074963300000001
stage 65 eps=8891466868548 center=0.33902221915417297 sec=1.063300007
stage 64 eps=924368570916 center=0.33848099597124826 sec=1.0398104859999999
stage 63 eps=919541866271 center=0.27571423058043809 sec=1.070952801
stage 62 eps=208171169769 center=0.278707753420111 sec=1.1064701109999999
stage 61 eps=207132410798 center=0.25041388552780042 sec=1.131714272
stage 60 eps=67870640074 center=0.24849460832370607 sec=1.113945913
stage 59 eps=67546046900 center=0.23722047171297955 sec=1.2322423709999999
stage 58 eps=27580818799 center=0.23124778193423179 sec=1.234752914
stage 57 eps=27458247238 center=0.22899114797027398 sec=1.3591849979999999
stage 56 eps=12972245584 center=0.22120509030164204 sec=1.4585996880000001
stage 55 eps=12919864175 center=0.22322531381393684 sec=1.547427624
stage 54 eps=6777374693 center=0.21526015275446575 sec=1.721185046
stage 53 eps=6752254823 center=0.21888078925399945 sec=1.6729000700000001
stage 52 eps=3832587601 center=0.21166124889319526 sec=1.6324918799999999
stage 51 eps=3819578662 center=0.21559622717688409 sec=1.8332423879999999
stage 50 eps=2304415984 center=0.2094540205830544 sec=1.8282837869999999
stage 49 eps=2297287065 center=0.21316948600662933 sec=2.0439363849999999
stage 48 eps=1455167033 center=0.20810012614273798 sec=2.0419805360000001
stage 47 eps=1451070738 center=0.21146141521229644 sec=2.3007215950000002
stage 46 eps=956049011 center=0.20732427216935712 sec=2.281626009
stage 45 eps=953577959 center=0.21036567655466776 sec=2.538513461
stage 44 eps=649055652 center=0.20701454922815454 sec=2.7388501650000001
stage 43 eps=647505146 center=0.20982727150976732 sec=2.8991640909999998
stage 42 eps=452978046 center=0.20713904485964285 sec=2.920390807
stage 41 eps=451983783 center=0.20979502702503527 sec=3.2398256480000001
stage 40 eps=323581225 center=0.2076393389334843 sec=3.2825822279999999
stage 39 eps=322927104 center=0.21015825257240373 sec=3.7020166859999999
stage 38 eps=235771079 center=0.20842174179155659 sec=3.604476966
stage 37 eps=235324263 center=0.21082829394226366 sec=4.0157890040000002
stage 36 eps=174754464 center=0.20945762271360646 sec=3.9723543879999998
stage 35 eps=174442402 center=0.21180029327206817 sec=4.4583102549999998
stage 34 eps=131441548 center=0.21075364437043209 sec=4.5842276719999999
stage 33 eps=131219430 center=0.21306203099591947 sec=4.9915185180000003
stage 32 eps=100137213 center=0.212330306438413 sec=4.9790073220000002
stage 31 eps=99974423 center=0.21468505080268407 sec=5.4923987099999998
stage 30 eps=77140255 center=0.21431632404016376 sec=5.492604203
stage 29 eps=77019889 center=0.21677730947487017 sec=6.1687829320000001
stage 28 eps=60004755 center=0.21671101046071328 sec=6.2944903070000002
stage 27 eps=59915712 center=0.21919312002457758 sec=7.0951068639999999
stage 26 eps=47074253 center=0.21928961118947843 sec=6.8463115969999997
stage 25 eps=47007071 center=0.22172745540293803 sec=7.5306036369999996
stage 24 eps=37208803 center=0.22199637769868819 sec=7.8219369419999998
stage 23 eps=37156330 center=0.22453169572821707 sec=8.5063198320000009
stage 22 eps=29602851 center=0.2251953146259531 sec=8.4204180639999997
stage 21 eps=29561311 center=0.22798408394757885 sec=9.5575569260000002
stage 20 eps=23687687 center=0.22898463108534806 sec=9.606199213
stage 19 eps=23655738 center=0.23177315946819288 sec=10.196800764000001
stage 18 eps=19053129 center=0.23264550383925542 sec=10.087592307
stage 17 eps=19028208 center=0.23551237920363999 sec=11.111115208999999
stage 16 eps=15393049 center=0.23643376166414143 sec=11.225177651999999
stage 15 eps=15373338 center=0.24003409086932859 sec=12.301897251
stage 14 eps=12484043 center=0.24116760431103668 sec=12.341646613
stage 13 eps=12469061 center=0.24448007830835117 sec=13.413292833
stage 12 eps=10160983 center=0.24547621069773484 sec=13.446887342
stage 11 eps=10148674 center=0.24871781338017573 sec=14.748174372999999
stage 10 eps=8290883 center=0.25069791113894802 sec=15.02652309
stage 9 eps=8280582 center=0.25408409364395546 sec=16.195474781000001
stage 8 eps=6785414 center=0.25578534245344819 sec=16.202564471999999
stage 7 eps=6777194 center=0.25913734005022615 sec=17.729307533
stage 6 eps=5560284 center=0.26152873128785448 sec=17.890324378999999
stage 5 eps=5553377 center=0.26499945480450737 sec=19.500340072
stage 4 eps=4557761 center=0.26688283398392088 sec=19.593123281
stage 3 eps=4552113 center=0.27062820093679463 sec=21.788964274000001
stage 2 eps=3731876 center=0.27320618911680139 sec=21.631796443999999
stage 1 eps=3727259 center=0.27679981816497357 sec=23.783508432000001
stage 0 eps=3045769 center=0.27970534695619342 sec=23.780568318
H0 upper=0.27970534695619342
certified lower endpoint L_down=1.736397439745879
PASS: E_star > 173639/100000
total sec=495.11860913599998
